Description,Category
To add Equipment Identification (471BC150 Slag Fee,Application
mail not sent,E-mail
mail not sentt,E-mail
backup,Laptops/Desktop
6 desktop prepared,Laptops/Desktop
6 new desktop cheked,Laptops/Desktop
Please note that Intercom Extension 11803 not work,Laptops/Desktop
"Dear Sir,We have received the below asset from N",Laptops/Desktop
"Dear Sir,Original  bill hard copy has been hando",Laptops/Desktop
"Dear Sir,As discussed, please handover the Mr. A",Laptops/Desktop
"Few keys are not working properly i.e. K, c etc. V",Laptops/Desktop
Sl.No. Emp. On Roll Working With (Grey) Emp Code N,Laptops/Desktop
"Hi ,Please dispatch the laptop below user ..Sl",Laptops/Desktop
"Hi ,Please provide the laptop to below user..S",Laptops/Desktop
"Sunil, S (CW) ssunil@hp.com; Singhal, Saurabh ssin",Laptops/Desktop
"Dear Mam,As requested , we have handed over Evol",Laptops/Desktop
"Hi ,Please dispatch the laptop for below user..",Laptops/Desktop
"Hi ,Please dispatch the laptop for below user.",Laptops/Desktop
Please reset the browser then check ..,Laptops/Desktop
"Hi ,Please confirm , it is resolved or not ..",Laptops/Desktop
"Hi ,Please provide the detail in below format.",Laptops/Desktop
"Hi Sachin,Please provide the logs of 29 Jun 2022",Laptops/Desktop
pdf files on SAP are not being saved in computer,Laptops/Desktop
Printernot working,Printer
Modem issue ,Other
DEAR TEAMKINDLY ARRANGE TO PROVIDE ME REPLACEMENT,Laptops/Desktop
office update,Laptops/Desktop
Error showing - TOTP account has been locked.Pls ,Network
"Dear Sir, Hope you are well. This is to reques",Laptops/Desktop
system slow working,Laptops/Desktop
password reset,Laptops/Desktop
Not able to login in performance portal.,Laptops/Desktop
OUTlook not working ,Software
Printernot connected.,Printer
Email not working please check ,E-mail
Please amend weight in slip serial number 650206 t,Laptops/Desktop
Password reset ,E-mail
VPN NOT WORKING,Network
Headphone issue,Laptops/Desktop
print out issue,Printer
Wi-Fi problem.,Network
Create VPN  ID  for New Depot 1392 Sawai Madhopur WH,Inquiry / Help
VPN NOT CONNECTED,Network
reset my system password,Laptops/Desktop
MS Team add in not showing,Laptops/Desktop
reset my system password,Network
LAPTOP ISSUE,Inquiry / Help
Install freezone printer,Printer
RE: Internet connection issue,Inquiry / Help
password reset ,E-mail
Need to ready laptop along with drivers and softwares for onboarding user. ,Laptops/Desktop
Outlook not responding,E-mail
Need to ready laptop with drivers and softwares for onboarding users. ,Laptops/Desktop
WIFI-Connectivity at 7 floor in State head laptop ,Network
Password reset ,E-mail
Please reset the vpn Mfa id  -   jkc.belgaum,Network
Mail not working ,E-mail
Wifi not working,Network
Please reset the VPN IDRid.Sarawgi,Network
vpn login issue ,Network
Hindi Indput,Software
Google map not accessing,Laptops/Desktop
Modem battery not working ,Other Hardware
Outlook not working and error coming for opening in web,E-mail
Reset password,Laptops/Desktop
outlook issue ,Software
outlook issue,Laptops/Desktop
password issue,Laptops/Desktop
Toner of Printer- Brother DCP - B7535DW,Printer
Vpn Configure,Laptops/Desktop
Password reset ,E-mail
Oracle is not working.,Laptops/Desktop
"Dear Sir,  Request for VPN Password Reset of Hubli Depot, User Id : Cfg.hubli",Network
vpn not working at Cfg.hubli,Network
Mouse scroll issue,Laptops/Desktop
Install printer,Laptops/Desktop
Fwd: Internet issue ,Inquiry / Help
need to install winrar,Laptops/Desktop
Need to Create D drive,Laptops/Desktop
outlook issue,Laptops/Desktop
Laptop  charger has faulty (sanjay dixit sir),Laptops/Desktop
outlook issue,Laptops/Desktop
Outlook issue,Laptops/Desktop
Outlook issue,Laptops/Desktop
Outlook issue,Laptops/Desktop
Outlook Issue,Laptops/Desktop
PC working slow and Saksham not responding,Laptops/Desktop
VPN Issue,Laptops/Desktop
laptop not open,Other
Hi Team The left side of the touchpad is not wor,Laptops/Desktop
Need to reset password.,Laptops/Desktop
password reset,Laptops/Desktop
account lock out issue,Laptops/Desktop
Excel not working. Showing up blank.,Laptops/Desktop
2nd floor Printerinstallation,Printer
Printernot connected,Printer
Password reset,Laptops/Desktop
Internet not functioning in portacabin -safety dep,Network
"Pulse is not connecting, asking for new password at SONIPAT depot ",Inquiry / Help
vpn not working,Other
outlook not working,E-mail
Mouse not working,Laptops/Desktop
voice not coming in teams meeting,Software
Outlook not working,Laptops/Desktop
Account Lock,Laptops/Desktop
Change Profile image ,Other
Mail configuration in mobile,E-mail
Please reset the VPN IDZiaul.Absar,Network
account locked,Laptops/Desktop
pls reset mail password,Laptops/Desktop
pls reset mail password,Laptops/Desktop
JKC Drawing photo copy machine not working. (Model,Printer
"FW: Request to Reset VPN Password of Moradabad Depot,_URGENT",Inquiry / Help
Auido not working in laptop,Other
Printernot connected,Printer
Laptop is not opening since last 2days,Laptops/Desktop
AD ID Rid.innovapptive16 Rid.innovapptive17 Rid.innovapptive18 Rid.innovapptive19,Inquiry / Help
Wifi connection issue,Network
Printernot working,Printer
please add Quality server Sap,Network
Sap quality server installation,Network
"Ok , please handover ,Please share the attached ",Laptops/Desktop
WDV note after format the laptop For shiv demo,Laptops/Desktop
window update issue,Laptops/Desktop
MIc Issue,Laptops/Desktop
please install outlook in mobile,Other
pls reset vpn idrid.kharagpur,Network
Please help in getting WDV for below asset using b,Laptops/Desktop
"Hi ,Please provide the detail in below format.",Laptops/Desktop
"Hi,Please provide the detail in below format for",Laptops/Desktop
"Dear sir,Please approve the below quote ..Requ",Laptops/Desktop
"Dear Sir,Please install the think cell as per th",Laptops/Desktop
Please provide the quote of  MacBook toolkit and M,Laptops/Desktop
"Hi Deepak,Please share the same …",Laptops/Desktop
"Hi Mukesh ,As discussed, please arrange to deliv",Laptops/Desktop
kindly reset the vpn mfa  depot id   :    cfw.Davangere,Network
Sap is not working please check,Network
myjkc login issue ,Application
please issue a new Mouse as i have not received it,Laptops/Desktop
MIC Issue,Laptops/Desktop
SirPlease Update Line In RFID  & Retrigger.Trip,Application
"As per Instruction, we have Enrolled the below use",Laptops/Desktop
Print out issue,Printer
Please add MAC address in MGMT wi-fi mobile used by Mr. Mayur Chhabra ji:-   MAC address:- D48A39BC899F   Location:- Padam Tower 19th Basement,Inquiry / Help
System is working slow plz check,Laptops/Desktop
Printernot connected,Printer
Printernot working please check and resolve,Printer
Please install SAP and VPN at Kharagpur (Paschim M,Network
Printernot working,Printer
RE: Final Notice: Prashant Kumar Rai's OneDrive for Business contents will be deleted in 7 days,Inquiry / Help
require Printercartridge,Printer
upgrade to o365,Laptops/Desktop
under observation,Inquiry / Help
"Hi team, I would like to request to please provi",Laptops/Desktop
VPN PASSWORD CHANGE SANGOLA DEPOT ,Network
KIndly reset the password cfw hubli depot ,Network
reset the vpn password jkmudhaltitth Depot ,Network
Password reset ,E-mail
Printernot working ,Printer
Mail not working ,E-mail
"Dear TMS Support Team,My Cost Centre and Vendor C",Application
Kindly share the folder.,E-mail
Please amend weight in slip serial number 649934 t,Laptops/Desktop
Printerinstallation required,Printer
PrinterInstallation,Printer
Please reset vpn ID,Network
outlook issue,Laptops/Desktop
Password reset at user: cfg.ponda,Network
please user unlock,Other
data backup,Laptops/Desktop
new connection to transport office,Network
backup,Laptops/Desktop
Application not working properly.,Laptops/Desktop
mail deleated,Laptops/Desktop
Tally not working,Other
internet not connected in laptop,Network
weighment printing issue crusher gate,Printer
Printing issue,Printer
"MY PASSWORD IS EXPIRING , PLEASE RENEW THE SAME.",Laptops/Desktop
ADD VPN GROUP,Other
Biometric registration  Advisor,Laptops/Desktop
PrinterNot working,Laptops/Desktop
VPN ID request: Hareesh,Inquiry / Help
touch Pad Issue,Laptops/Desktop
password reset,Laptops/Desktop
Printerinstallation required for LS Crusher Offic,Printer
FW: VPN Setup Required,Inquiry / Help
please configure outlook in mobile,Other
"Hi Pankaj Joshi, Following assets have been allot",Laptops/Desktop
"Hi Praveen Saraf, Following assets have been allo",Laptops/Desktop
"Hi Rita Arora, Following assets have been allotte",Laptops/Desktop
"Hi Himal Dinesh Haran, Following assets have been",Laptops/Desktop
"Hi Rakesh Kumar1, Following assets have been allo",Laptops/Desktop
"Hi Jitender Bajaj, Following assets have been all",Laptops/Desktop
"Hi Rahul Sharma, Following assets have been allot",Laptops/Desktop
"Hi Subhadeep Das, Following assets have been allo",Laptops/Desktop
"Hi Visheshwar Dayal Mathur, Following assets have",Laptops/Desktop
"Hi Prashant Kumar Vaish, Following assets have be",Laptops/Desktop
"Hi Shiwani K, Following assets have been allotted",Laptops/Desktop
Ratan rathhor laptop connect with TV,Laptops/Desktop
One drive configure,Laptops/Desktop
"Dear Sir,We have issue the SIM card (9205998197)",Laptops/Desktop
Please find  the below user detail ..Mr. Anand S,Laptops/Desktop
password reset,Laptops/Desktop
"Hi Sushil,Please provide the data card as per tr",Laptops/Desktop
Faulty phone sending you to Padam Tower …,Laptops/Desktop
Password reset,Laptops/Desktop
password reset,Laptops/Desktop
"Dear Shivam,User is in Prism tower today. Please",Laptops/Desktop
"Dear Sir,Please approve the below quote ..S.N. ",Laptops/Desktop
Please provide the quote for below item . ID CAR,Laptops/Desktop
"Yes, Now it’s working fine ….",Laptops/Desktop
vendor Laptop connect with TV in MD meeting,Laptops/Desktop
Board room setup for MD sir Meeting,Laptops/Desktop
Board room need to check,Laptops/Desktop
Toner cartidge empty,Printer
Wifi not connected,Network
Internet not connect,Network
Mouse not working properly (Scroll not work),Laptops/Desktop
Mail Forwarding Activity,Inquiry / Help
Scan issue,Printer
Outlook not responding,E-mail
internet not connected in laptop,Laptops/Desktop
"Dear Team,Our VPN ""cfg.shivpuri"" is not working ",Network
Please amend the following in slip serial number 6,Laptops/Desktop
Rid.Innovapptive15,Inquiry / Help
kindly enable my laptop  pulse secure as i had rec,Network
ms office issue,Other
System slow issue,Laptops/Desktop
Canon 3010 MFP Printerinstallation required,Printer
VPN ID - 13002231 has been locked out due to wrong,Network
VPN Access required,Network
done,Inquiry / Help
resolved,Inquiry / Help
outlook issue,Laptops/Desktop
Login Issue,SAP
Autocad true viewer dimensions not showing,Laptops/Desktop
pls reset mail password,Laptops/Desktop
Outlook install,Laptops/Desktop
Laptop not booting,Laptops/Desktop
IP Telephone and internet not working,Network
All Systems not working,Other Hardware
Laptop Working Very Slow,Laptops/Desktop
dwg file not open,Laptops/Desktop
Outlook not responding,E-mail
"My outlook is not working, address book not downlo",Laptops/Desktop
Kindly provide the temporary internet access.,Laptops/Desktop
Kindly provide a share folder,Laptops/Desktop
IP Phone configure ,Other
कृप्या हिंदी टाइपिंग इनस्टॉल,Laptops/Desktop
Visitor login problem.,Laptops/Desktop
Kindly install the google hindi input application.,Software
Fw: Chhatarpur SAP ID block ,Inquiry / Help
Ajai sir password issue,Laptops/Desktop
Microsoft team not working for myselfemp no.  : 7,Laptops/Desktop
vpn not working,Laptops/Desktop
please reset my password,Other
Please reset VPN ID,Network
VPN PLUSE CONNECTIVITY,Inquiry / Help
"Dear Team,Kindly configure pending IP Phone at H",Network
please provide google drive access,Inquiry / Help
System working slow,Laptops/Desktop
SYSTEM SLOW WORKING,Laptops/Desktop
"As per the trailing mail, please provided the below mentioned services to Mr.Sudhir Singh ",Other
Please reset vpn id.Vpnid.Dna3Vpnid.Dna2,Network
please transfer pc record room,Other
"Hi,Please share the error screenshot with Emp. C",Laptops/Desktop
Make & Model – Canon iR-ADV C357 (A4)  (Color)  7t,Laptops/Desktop
Make and Model – Canon iR-ADV 4725 (A3 +A4) (Black,Laptops/Desktop
Make and Model – Canon iR-ADV 4725 (A3 +A4) (Black,Laptops/Desktop
Laptop presentation on zoom call,Laptops/Desktop
Kindly create a VPN ID  for SAP access and mention,Network
Zoom call setup for I.T..,Laptops/Desktop
FW: Airtel 4G Hotspot Battery is not Working ,Inquiry / Help
SYSTEM RUN SLOWLY  ,Inquiry / Help
Printernot connected,Printer
Mines Data DMG,Other Hardware
Laptop is working very slow takes so much time to ,Laptops/Desktop
"Dear Sir,As discussed , please fill up the attac",Laptops/Desktop
"Hi Sam,As discussed , please share the INTERNATI",Laptops/Desktop
Microsoft Teams meeting Join on your computer or ,Laptops/Desktop
JKC-MGMT wifi not connecting,Network
"As discussed , please dispatch the working mobile ",Laptops/Desktop
